shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_R01_8b543360,33.723426,130.751613,99,2793.91
shape_R01_8b543360,33.723630,130.751663,100,2817.06
shape_R01_8b543360,33.723917,130.751177,101,2872.19
shape_R01_8b543360,33.724059,130.751149,102,2888.19
shape_R01_8b543360,33.724494,130.751027,103,2937.86
shape_R01_8b543360,33.724544,130.750959,104,2946.25
shape_R01_8b543360,33.724582,130.750678,105,2972.58
shape_R01_8b543360,33.724670,130.750534,106,2989.11
shape_R01_8b543360,33.724761,130.750448,107,3001.98
shape_R01_8b543360,33.724807,130.750336,108,3013.53
shape_R01_8b543360,33.724784,130.750301,109,3017.65
shape_R01_8b543360,33.724721,130.749869,110,3058.22
shape_R01_8b543360,33.724724,130.749799,111,3064.70
shape_R01_8b543360,33.724737,130.749721,112,3072.06
shape_R01_8b543360,33.724771,130.749647,113,3079.87
shape_R01_8b543360,33.724831,130.749571,114,3089.56
shape_R01_8b543360,33.724858,130.749523,115,3094.92
shape_R01_8b543360,33.724867,130.749486,116,3098.49
shape_R01_8b543360,33.724880,130.749363,117,3109.96
shape_R01_8b543360,33.724880,130.749272,118,3118.37
shape_R01_8b543360,33.724872,130.749230,119,3122.36
shape_R01_8b543360,33.724822,130.749125,120,3133.55
shape_R01_8b543360,33.724818,130.749117,121,3134.41
shape_R01_8b543360,33.725139,130.749005,122,3171.58
shape_R01_8b543360,33.725306,130.748877,123,3193.60
shape_R01_8b543360,33.725328,130.748861,124,3196.46
shape_R01_8b543360,33.725404,130.748752,125,3209.61
shape_R01_8b543360,33.725435,130.748709,126,3214.87
shape_R01_8b543360,33.725494,130.748559,127,3230.22
shape_R01_8b543360,33.725681,130.747874,128,3296.89
shape_R01_8b543360,33.725713,130.747756,129,3308.37
shape_R01_8b543360,33.725755,130.747635,130,3320.50
shape_R01_8b543360,33.725781,130.747554,131,3328.53
shape_R01_8b543360,33.725906,130.747446,132,3345.64
shape_R01_8b543360,33.726022,130.747364,133,3360.61
shape_R01_8b543360,33.726121,130.747293,134,3373.42
shape_R01_8b543360,33.726493,130.746983,135,3423.75
shape_R01_8b543360,33.726711,130.746784,136,3454.19
shape_R01_8b543360,33.726874,130.746503,137,3485.87
shape_R01_8b543360,33.726951,130.746445,138,3495.97
shape_R01_8b543360,33.727067,130.746431,139,3508.94
shape_R01_8b543360,33.727385,130.746417,140,3544.32
shape_R01_8b543360,33.727441,130.746415,141,3550.55
shape_R01_8b543360,33.727474,130.746403,142,3554.38
shape_R01_8b543360,33.727574,130.746365,143,3566.05
shape_R01_8b543360,33.727589,130.746352,144,3568.10
shape_R01_8b543360,33.727723,130.746234,145,3586.57
shape_R01_8b543360,33.727840,130.746131,146,3602.69
shape_R01_8b543360,33.728005,130.746049,147,3622.55
shape_R01_8b543360,33.728299,130.745890,148,3658.39
shape_R01_8b543360,33.728390,130.745796,149,3671.73
shape_R01_8b543360,33.728653,130.745629,150,3704.80
shape_R01_8b543360,33.728915,130.745452,151,3738.22
shape_R01_8b543360,33.729184,130.745178,152,3777.42
shape_R01_8b543360,33.729300,130.745143,153,3790.72
shape_R01_8b543360,33.729388,130.745035,154,3804.70
shape_R01_8b543360,33.729520,130.744881,155,3825.15
shape_R01_8b543360,33.729955,130.744774,156,3874.53
shape_R01_8b543360,33.730090,130.744668,157,3892.45
shape_R01_8b543360,33.730190,130.744481,158,3913.01
shape_R01_8b543360,33.730201,130.744485,159,3914.29
shape_R01_8b543360,33.730348,130.744543,160,3931.50
shape_R01_8b543360,33.730616,130.744621,161,3962.16
shape_R01_8b543360,33.730745,130.744669,162,3977.17
shape_R01_8b543360,33.730881,130.744711,163,3992.78
shape_R01_8b543360,33.730999,130.744468,164,4018.81
shape_R01_8b543360,33.730406,130.744322,165,4086.11
shape_R01_8b543360,33.729814,130.744167,166,4153.48
shape_R01_8b543360,33.729353,130.744055,167,4205.78
shape_R01_8b543360,33.728324,130.743773,168,4323.13
shape_R01_8b543360,33.728079,130.743668,169,4352.06
